PROPERTY.TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,Dollar/SQUARE.FEET,LATITUDE,LONGITUDE,DAYS.ON.MARKET
Multi-Family (5+ Unit),232 N Belmont Ave,Los Angeles,CA,90026,1699000,8,8,7458,5945,1926,228,34.0653479,-118.2628348,95
Multi-Family (5+ Unit),145 E Avenue 35,Los Angeles,CA,90031,999999,11,9,3778,5946,1908,265,34.0855332,-118.2114775,75
Single Family Residential,1324 W 101st St,Los Angeles,CA,90044,598000,3,2,1208,5947,1927,495,33.9447795,-118.2991153,139
Single Family Residential,13842 La Cuarta St,Whittier,CA,90602,835000,3,1,1366,5950,1951,611,33.9677203,-118.0261792,2
Single Family Residential,3960 Garfield St,Carlsbad,CA,92008,3199999,4,3.5,2503,5950,1980,1278,33.1477215,-117.3430717,21
Single Family Residential,1114 Stovall Ave,La Puente,CA,91745,750000,3,2,1170,5950,1957,641,34.0137667,-117.9732934,58
Single Family Residential,27924 Barley Ct,Valley Center,CA,92082,898000,4,3,2672,5950,2022,336,33.2170476,-117.0356752,66
Single Family Residential,3614 S Olive St,Santa Ana,CA,92707,1250000,4,2.5,1989,5952,1966,628,33.6991419,-117.8777899,3
Single Family Residential,57 Stanza,Irvine,CA,92620,2860000,4,4,2894,5953,2016,988,33.7120487,-117.7392256,36
Multi-Family (2-4 Unit),832 W 41st St,Los Angeles,CA,90037,1200000,10,4,4326,5955,1916,277,34.0089562,-118.2884281,334
Single Family Residential,15058 Gale Ave,Hacienda Hts,CA,91745,758000,3,2,1156,5958,1954,656,34.0157072,-117.9782272,23
Single Family Residential,1129 Belbury Dr,Walnut,CA,91789,1125000,4,2,1867,5959,1966,603,33.9967495,-117.857709,5
Single Family Residential,466 Willow Witch Rd,Cedarpines Park,CA,92322,249000,1,1,504,5959,1988,494,34.244831,-117.324529,188
Single Family Residential,34 Vela Ct,Coto De Caza,CA,92679,2739000,5,4,4000,5961,2000,685,33.5675511,-117.5879685,45
Single Family Residential,5837 Esperanza Ave,Whittier,CA,90606,750000,4,1,1554,5966,1910,483,33.9963223,-118.0698288,18
Single Family Residential,12440 Alderglen St,Moorpark,CA,93021,1075000,5,2.5,2518,5967,1989,427,34.2676062,-118.8891932,3
Single Family Residential,237 S Almont Dr,Beverly Hills,CA,90211,2880000,2,2,1602,5967,1930,1798,34.0635948,-118.3878979,49
Single Family Residential,2212 N Locust Ave,Compton,CA,90221,639900,3,1,1117,5969,1947,573,33.909225,-118.1992387,12
Single Family Residential,14378 Terryknoll Dr,Whittier,CA,90604,750000,3,1,980,5972,1953,765,33.9417077,-118.0247743,6
Single Family Residential,33080 Robin Ln,Arrowbear,CA,92382,329999,2,2,1032,5973,1980,320,34.2109569,-117.0815158,71
Single Family Residential,110 Pixel,Irvine,CA,92618,3490000,4,4.5,3754,5973,2019,930,33.6864043,-117.7258753,73
Single Family Residential,11156 Mansel Ave,Inglewood,CA,90304,770000,4,2,1404,5974,2004,548,33.9328104,-118.3554903,51
Single Family Residential,26 Upland,Irvine,CA,92602,2699000,6,5.5,2901,5975,2001,930,33.7324569,-117.7623934,30
Single Family Residential,4173 Caribbean St,Oxnard,CA,93035,2250000,4,3,3451,5979,2006,652,34.1857163,-119.2270317,28
Single Family Residential,47 Cielo Azul,Mission Viejo,CA,92692,2349000,4,3,2949,5979,2017,797,33.6704704,-117.621696,30
Single Family Residential,1512 247th Pl,Harbor City,CA,90710,725000,3,1,1053,5982,1953,689,33.7999551,-118.3042988,8
Single Family Residential,113 Pixel,Irvine,CA,92618,3398888,4,4.5,3740,5986,2020,909,33.6867828,-117.7261142,73
Single Family Residential,141 N Gardner St,Los Angeles,CA,90036,2995000,3,4,2970,5986,1926,1008,34.0748062,-118.3535201,74
Single Family Residential,226 Shay Ave,La Puente,CA,91744,769000,4,1,1480,5987,1954,520,34.0179253,-117.9473021,81
Single Family Residential,28622 Point Loma,Laguna Niguel,CA,92677,2999999,4,3.5,3940,5991,1998,761,33.5473009,-117.7177845,111
Multi-Family (2-4 Unit),1362 E 20th St,Los Angeles,CA,90011,775000,8,4,3380,5992,1964,229,34.0220362,-118.2500313,49
Single Family Residential,4522 W 156th St,Lawndale,CA,90260,750000,3,1,1232,5994,1949,609,33.8894989,-118.3556685,76
Single Family Residential,6036 Jeffrey Mark St,Cypress,CA,90630,1540000,5,3.5,2750,5995,1969,560,33.8215215,-118.0275082,7
Single Family Residential,168 Monte Vista Ave,Costa Mesa,CA,92627,2850000,4,3,1673,5995,1950,1704,33.6586133,-117.89742,57
Single Family Residential,724 S Sail St,Santa Ana,CA,92704,1199900,4,3.5,1809,5996,1963,663,33.737179,-117.943712,4
Single Family Residential,2236 Ann Arbor Ave,Pomona,CA,91766,680000,3,1,1300,5996,1947,523,34.0312147,-117.7348862,35
Single Family Residential,1064 Eliot St,Oceanside,CA,92057,920000,3,2,1844,5998,2003,499,33.2723665,-117.299034,4
Single Family Residential,12912 Newport St,Hesperia,CA,92344,549900,5,3,2660,5998,2006,207,34.4069745,-117.3810782,19
Single Family Residential,17069 Myrtle Ave,Huron,CA,93234,249000,4,1.25,1196,5998,1970,208,36.1992604,-120.1045905,65
Single Family Residential,1234 Daniels Dr,Los Angeles,CA,90035,2850000,4,3,2024,5998,1937,1408,34.0554763,-118.4011348,102
Single Family Residential,3648 Fawn Lily Ln,San Bernardino,CA,92407,849900,6,4,3152,5999,2016,270,34.1852541,-117.419841,33
Single Family Residential,650 Aerick St,Inglewood,CA,90301,730000,1,1,588,5999,1948,1241,33.9634064,-118.3447598,45
Single Family Residential,17938 Caraway Ct,San Bernardino,CA,92407,799000,5,4,2978,5999,2017,268,34.1846509,-117.4224854,67
Single Family Residential,5722 Edward Ware Cir,Garden Grove,CA,92845,1288899,5,5,2836,6000,1977,454,33.7757016,-118.0327696,1
Single Family Residential,14891 Quill Cir,Huntington Beach,CA,92647,1350000,4,2,1438,6000,1964,939,33.7457313,-118.0192102,1
Single Family Residential,1943 Horseshoe Cir,Placentia,CA,92870,1249000,4,2.5,2221,6000,1978,562,33.8718357,-117.8218558,1
Single Family Residential,6431 Cathay Cir,Buena Park,CA,90620,1050000,4,2,1837,6000,1958,572,33.8116861,-118.0207119,2
Single Family Residential,8050 Calendula Dr,Buena Park,CA,90620,815000,3,1,1207,6000,1956,675,33.8538036,-117.9925973,2
Single Family Residential,2406 S Pacific Ave,Santa Ana,CA,92704,1099900,3,2,1344,6000,1965,818,33.7147546,-117.8882631,2
Single Family Residential,1943 Horseshoe Cir,Placentia,CA,92870,1249000,4,2.5,2221,6000,1978,562,33.8718357,-117.8218558,2
Single Family Residential,7189 E Drake Dr,Anaheim Hills,CA,92807,1079000,3,2.5,2610,6000,1976,413,33.8411418,-117.7447049,2
Single Family Residential,321 N Orange Ave,Rialto,CA,92376,479000,2,1,948,6000,1949,505,34.1049526,-117.371523,2
Single Family Residential,321 N Orange Ave,Rialto,CA,92376,479000,2,1,948,6000,1949,505,34.1049526,-117.371523,2
Single Family Residential,1107 Chestnut Ave,Redlands,CA,92373,615000,2,2,908,6000,1952,677,34.0359714,-117.1861392,2
Single Family Residential,15332 Shasta Ln,Huntington Beach,CA,92647,1400000,6,3,2508,6000,1962,558,33.7396187,-117.995879,3
Single Family Residential,20672 Kelvin Ln,Huntington Beach,CA,92646,1790000,3,2,1719,6000,1966,1041,33.6623047,-117.9702586,3
Single Family Residential,20281 Bancroft Cir,Huntington Beach,CA,92646,1999000,3,2,2042,6000,1968,979,33.6680198,-117.9648434,3
Single Family Residential,14652 Danborough Rd,Tustin,CA,92780,1349900,4,2.5,2165,6000,1968,624,33.7208252,-117.8154255,3
Single Family Residential,22908 Redwood Way,Crestline,CA,92325,279999,2,1,864,6000,1968,324,34.2451423,-117.3033165,3
Single Family Residential,22908 Redwood Way,Crestline,CA,92325,279999,2,1,864,6000,1968,324,34.2451423,-117.3033165,3
Single Family Residential,2574 W Glencrest Ave,Anaheim,CA,92801,699900,3,1.5,1141,6000,1954,613,33.8400539,-117.9754201,4
Single Family Residential,33931 Granada Dr. Dr,Dana Point,CA,92629,3295000,4,3,3221,6000,1992,1023,33.4699667,-117.7041854,4
Single Family Residential,13923 Meadow Ln,Lytle Creek,CA,92358,260000,1,1,448,6000,1945,580,34.2594858,-117.5007252,4
Single Family Residential,13923 Meadow Ln,Lytle Creek,CA,92358,260000,1,1,448,6000,1945,580,34.2594858,-117.5007252,4
Single Family Residential,6272 Hooker Dr,Huntington Beach,CA,92647,1149000,4,2,1454,6000,1963,790,33.7322527,-118.0190891,5
Single Family Residential,956 S Philadelphia St,Anaheim,CA,92805,829900,4,3,1487,6000,1950,558,33.8219607,-117.9056966,5
Single Family Residential,1419 W Dogwood Ave,Anaheim,CA,92801,850000,4,2,1313,6000,1955,647,33.8465104,-117.9382395,6
Multi-Family (2-4 Unit),4834-4836 Terrace Ave,Oxnard,CA,93033,875000,6,4,2064,6000,1974,424,34.1566233,-119.1653144,7
Single Family Residential,1342 Mallorca St,Upland,CA,91784,810000,3,2,1322,6000,1988,613,34.1471197,-117.6743731,7
Single Family Residential,1342 Mallorca St,Upland,CA,91784,810000,3,2,1322,6000,1988,613,34.1471197,-117.6743731,7
Single Family Residential,1918 S Freeman St,Oceanside,CA,92054,1799000,4,4,2078,6000,1960,866,33.1736676,-117.3593731,8
Single Family Residential,2219 Montemar,Escondido,CA,92027,849000,4,2,1986,6000,1968,427,33.1484988,-117.0538134,9
Single Family Residential,22052 Susan Ln,Huntington Beach,CA,92646,2499999,4,3.5,3373,6000,2006,741,33.6423622,-117.9695188,10
Single Family Residential,31428 Panorama Dr,Running Springs Area,CA,92382,345000,2,1,924,6000,1956,373,34.2084222,-117.1175644,10
Single Family Residential,11989 Suzanne Dr,Fontana,CA,92337,609900,3,2,1125,6000,1986,542,34.035515,-117.4791684,11
Single Family Residential,11183 Linares,San Diego,CA,92129,1399000,3,2,1468,6000,1975,953,32.9920619,-117.0933592,11
Single Family Residential,13941 PARKWOOD Dr,Fontana,CA,92337,579900,3,2,1220,6000,1985,475,34.0432619,-117.5013996,12
Single Family Residential,2017 Harvard Dr,Barstow,CA,92311,230000,2,2,1088,6000,1974,211,34.8759804,-117.0198636,14
Single Family Residential,312 Del Mar Ave,Barstow,CA,92311,312500,4,2,1144,6000,1963,273,34.8852787,-117.001096,14
Single Family Residential,1707 Alta St,Redlands,CA,92374,515000,3,1,908,6000,1953,567,34.0794013,-117.181665,16
Single Family Residential,15441 Alsace Cir,Irvine,CA,92604,2400000,5,3.5,3330,6000,1970,721,33.6819029,-117.7804166,17
Single Family Residential,9870 Woodale Ave,Arleta,CA,91331,678000,3,2,1225,6000,1955,553,34.2502218,-118.4378608,20
Single Family Residential,122 E Pioneer Ave,Redlands,CA,92374,480000,3,1,1044,6000,1954,460,34.0806867,-117.1801274,20
Single Family Residential,3886 Santa Cruz,San Diego,CA,92107,1749000,4,2,1924,6000,1977,909,32.7338602,-117.2380869,23
Single Family Residential,5106 Belle Way,Hemet,CA,92545,465000,3,2,1494,6000,2024,311,33.714021,-117.026143,23
Single Family Residential,22581 Summerfield,Mission Viejo,CA,92692,2525000,6,4,3713,6000,1994,680,33.6343423,-117.6318003,24
Single Family Residential,2386 Lapis Rd,Carlsbad,CA,92009,2349000,4,4.5,3463,6000,2006,678,33.1112082,-117.253678,24
Single Family Residential,601 Adele Dr,Barstow,CA,92311,249000,3,1,1014,6000,1952,246,34.8936431,-117.0128722,24
Single Family Residential,22435 Rosebriar,Mission Viejo,CA,92692,2499900,5,3.5,3696,6000,1989,676,33.6365094,-117.6288947,26
Single Family Residential,49438 Conejo Rd,Morongo Valley,CA,92256,279999,2,1,990,6000,1960,283,34.0405591,-116.5866731,26
Single Family Residential,27735 Summer Grove Pl,Valencia,CA,91354,799900,4,3,1866,6000,2004,429,34.4457196,-118.5571551,27
Single Family Residential,17413 Sienna Ln,Fountain Valley,CA,92708,2399000,4,4,3180,6000,2024,754,33.710479,-117.951347,27
Single Family Residential,30282 Waterline Dr,Menifee,CA,92584,907360,5,4.5,4134,6000,2025,219,33.660762,-117.179831,30
Single Family Residential,17909 E Laxford Rd,Azusa,CA,91702,655000,3,1,936,6000,1954,700,34.1096319,-117.9002794,32
Single Family Residential,1429 Taylor Ave,Escondido,CA,92027,777950,3,1,1300,6000,1960,598,33.1374197,-117.0648524,37
Single Family Residential,10016 Anja Pl,Lakeside,CA,92040,879000,3,2,1229,6000,1974,715,32.8593048,-116.9608396,38
Single Family Residential,13198 Oaks Ave,Chino,CA,91710,719900,4,2,1252,6000,1955,575,34.0137574,-117.6764909,39
Single Family Residential,13612 El Mar Ave,Poway,CA,92064,899000,3,2,1501,6000,1970,599,32.9618813,-117.0178986,39
Multi-Family (2-4 Unit),4227 Walton Ave,Los Angeles,CA,90037,699777,4,3,2090,6000,1923,335,34.0065188,-118.2951283,43
Single Family Residential,305 Beverly Ave,Barstow,CA,92311,308000,3,2,1453,6000,1963,212,34.8855931,-117.0014082,52
Single Family Residential,1619 Alvarado St,Oceanside,CA,92054,1420000,2,2,1019,6000,1945,1394,33.1784349,-117.363369,66
Single Family Residential,6252 Sequanota Dr,Jurupa Valley,CA,92509,778742,4,3,2661,6000,2025,293,33.97571,-117.51425,67
Single Family Residential,6252 Sequanota Dr,Jurupa Valley,CA,92509,778742,4,3,2661,6000,2025,293,33.97571,-117.51425,68
Single Family Residential,206 Cedar Ln,Sugarloaf,CA,92386,392500,2,1,1020,6000,1972,385,34.2485762,-116.8247442,69
Single Family Residential,17961 Valerian Way,San Bernardino,CA,92407,768800,4,3,2690,6000,2014,286,34.1838137,-117.4195395,73
Single Family Residential,17982 Whitford Ln,Huntington Beach,CA,92649,3100000,5,5,4744,6000,2015,653,33.7012797,-118.030015,82
Single Family Residential,1111 Taos Dr,Barstow,CA,92311,305000,3,2,1295,6000,1959,236,34.9005331,-117.0117681,95
Single Family Residential,41414 Valley Of The Falls Dr,Forest Falls,CA,92339,345000,2,1.5,710,6000,1948,486,34.0828254,-116.9007592,105
Single Family Residential,4071 Shorebreak Dr,Huntington Beach,CA,92649,2395000,4,3,3324,6000,1985,721,33.7292165,-118.0574286,108
Multi-Family (5+ Unit),143 N Reno St,Los Angeles,CA,90026,2300000,4,16,9240,6000,1927,249,34.0726676,-118.2808234,111
Single Family Residential,1707 Twin Lakes Dr,Wrightwood,CA,92397,462500,2,2,1408,6000,1975,328,34.3541801,-117.6243844,115
Single Family Residential,946 E J St,Ontario,CA,91764,535000,3,2,984,6000,1947,544,34.0762418,-117.6352561,116
Single Family Residential,16037 Molino Dr,Victorville,CA,92395,350000,2,2,1283,6000,1963,273,34.5114573,-117.3140983,119
Single Family Residential,2673 Moonshimmer St,Hemet,CA,92543,568123,4,3,2660,6000,2025,214,33.696854,-116.970908,134
Single Family Residential,2685 Moonshimmer St,Hemet,CA,92543,522683,4,3,2082,6000,2025,251,33.696689,-116.970907,134
Single Family Residential,2703 Moonshimmer St,Hemet,CA,92543,537790,4,3,2380,6000,2025,226,33.6963579,-116.970905,134
Single Family Residential,9366 Cedar Dr,Forest Falls,CA,92339,389000,4,2,1800,6000,1927,216,34.0835418,-116.9099763,138
Multi-Family (2-4 Unit),236 N Burlington,Los Angeles,CA,90026,2699000,14,13,4798,6000,2023,563,34.067085,-118.2656481,140
Single Family Residential,521 Lillian Dr,Barstow,CA,92311,235000,2,1,840,6000,1951,280,34.8941239,-117.0146664,157
Single Family Residential,3410 Lakota Ln,Jurupa Valley,CA,92509,785990,4,3,2661,6000,2025,295,34.009478,-117.4217338,207
Single Family Residential,14533 Cameo Ave,Norwalk,CA,90650,749000,2,1,1170,6001,1950,640,33.8992363,-118.0679369,3
Single Family Residential,10345 Sherman Grove Ave,Sunland,CA,91040,775000,2,1,887,6001,1951,874,34.2573385,-118.3203783,32
Multi-Family (2-4 Unit),2151 S West View St,Los Angeles,CA,90016,2999999,14,15,5983,6001,2020,501,34.0363122,-118.3464003,219
Multi-Family (2-4 Unit),9318 S Western Ave,Los Angeles,CA,90047,1040000,4,3,6268,6001,1947,166,33.9514179,-118.308648,256
Single Family Residential,6214 Hungerford St,Lakewood,CA,90713,918800,3,2,1287,6002,1959,714,33.8636086,-118.110782,6
Multi-Family (2-4 Unit),829 831 N Orange Grove Ave,Los Angeles,CA,90046,2995000,8,6,3245,6002,2023,923,34.086231,-118.360798,11
Single Family Residential,4613 Goldfinch St,Hemet,CA,92545,532391,5,2.5,2404,6002,2024,221,33.7276561,-117.020493,11
Multi-Family (5+ Unit),216 N Coronado St,Los Angeles,CA,90026,3295000,12,17,6025,6002,2023,547,34.0709209,-118.2742832,19
Single Family Residential,1307 S Grandee Ave,Compton,CA,90220,602000,3,1,1104,6002,1948,545,33.8833615,-118.2418123,33
Single Family Residential,12302 Gorham Ave,NA,CA,90049,3199000,3,3,1750,6002,1924,1828,34.0469923,-118.4742112,36
Single Family Residential,9615 Dorrington Ave,Arleta,CA,91331,749000,3,2,1253,6002,1953,598,34.2451299,-118.4460411,40
Multi-Family (2-4 Unit),1113 Carmona Ave,Los Angeles,CA,90019,3249500,12,12,5641,6002,2018,576,34.0554053,-118.3553033,62
Single Family Residential,115 S La Peer Dr,Los Angeles,CA,90048,2899000,3,2,1842,6002,1936,1574,34.074859,-118.387077,172
Multi-Family (5+ Unit),146 N Vendome St,Los Angeles,CA,90026,1395000,8,8,4924,6002,1964,283,34.0729592,-118.2810974,263
Single Family Residential,1518 E Luray St,Long Beach,CA,90807,730000,2,1,812,6003,1942,899,33.8461679,-118.1728355,1
Single Family Residential,1100 N Baxter St,Anaheim,CA,92805,1150000,4,3,2445,6003,1977,470,33.8492074,-117.8933003,7
Single Family Residential,17829 Burton St,Reseda,CA,91335,690000,4,2,1192,6003,1954,579,34.220283,-118.5218735,11
Single Family Residential,741 Marlin,Laguna Beach,CA,92651,3188000,4,2.5,2662,6003,1982,1198,33.5251556,-117.7566474,18
Single Family Residential,2545 W Greenacre Ave,Anaheim,CA,92801,929000,3,2,1284,6004,1954,724,33.8419114,-117.973934,7
Single Family Residential,9439 Obeck Ave,Arleta,CA,91331,799500,4,2,1694,6004,1954,472,34.2412348,-118.4336292,96
Single Family Residential,6657 W 5th St,Los Angeles,CA,90048,3500000,4,4,2945,6004,1926,1188,34.0690328,-118.3726548,99
Single Family Residential,1951 W 232nd St,Torrance,CA,90501,1379900,4,2.5,2508,6005,1974,550,33.8150919,-118.3134713,2
Single Family Residential,1120 E 103rd Pl,Los Angeles,CA,90002,555000,2,1,864,6005,1918,642,33.9424389,-118.2557792,11
Single Family Residential,9472 Woodale Ave,Arleta,CA,91331,799000,3,2.5,1642,6005,1954,487,34.2423206,-118.4294765,76
Multi-Family (5+ Unit),3794 Rosewood Ave,Los Angeles,CA,90066,3195000,10,8,5885,6005,1957,543,33.9991571,-118.4433945,97
Single Family Residential,5302 Bryant Cir,Westminster,CA,92683,1399000,4,3,2268,6006,1972,617,33.7699758,-118.0366996,3
Single Family Residential,13563 Caminito Carmel,Del Mar,CA,92014,2200000,3,2.5,2150,6006,1985,1023,32.9333466,-117.243235,11
Multi-Family (2-4 Unit),6018 Comey Ave,Los Angeles,CA,90034,2900000,9,12,5046,6006,2021,575,34.034079,-118.3752867,20
Multi-Family (2-4 Unit),8014 Morton Ave,Los Angeles,CA,90001,639990,4,2,1200,6007,1953,533,33.9659154,-118.2376567,2
Single Family Residential,8458 Carlton Way,Los Angeles,CA,90069,3099000,3,3.5,2500,6007,1938,1240,34.0976638,-118.375397,164
Single Family Residential,6229 Oak Ave,Temple City,CA,91780,1280000,4,4,1626,6008,2018,787,34.1121464,-118.0669765,10
Single Family Residential,10631 S St Andrews Pl,Los Angeles,CA,90047,785000,3,1,1381,6008,1942,568,33.9390625,-118.3115143,13
Single Family Residential,11515 Virginia Ave,Lynwood,CA,90262,629000,4,1,1726,6013,1935,364,33.9195928,-118.1873595,54
Single Family Residential,14812 Ryan St,Sylmar,CA,91342,789000,3,2,1181,6015,1963,668,34.3099908,-118.4549071,37
Single Family Residential,154 W 93rd St,Los Angeles,CA,90003,580000,2,1,996,6016,1924,582,33.9517172,-118.2760274,90
Single Family Residential,1322 E 70th St E,Los Angeles,CA,90001,500000,2,1,988,6017,1923,506,33.9764967,-118.2512033,13
Single Family Residential,13414 Mystic St,Whittier,CA,90605,789000,3,1,1459,6018,1951,541,33.9485254,-118.0433135,2
Single Family Residential,229 N Juanita Ave Unit B,Redondo Beach,CA,90277,1850000,4,3,2816,6018,2008,657,33.8446295,-118.3803479,6
Single Family Residential,11137 Stamy Rd,Whittier,CA,90604,789000,4,2,1355,6019,1955,582,33.9298528,-118.0066005,47
Single Family Residential,22461 Silver Spur,Lake Forest,CA,92630,1900000,6,3,3289,6020,1974,578,33.6369774,-117.6843579,3
Single Family Residential,32950 Juniper Ln,Green Valley Lake,CA,92341,360000,2,1,676,6020,1966,533,34.2415673,-117.0849247,123
Single Family Residential,10203 Fernglen Ave,Tujunga,CA,91042,729900,2,1,946,6021,1927,772,34.2543264,-118.2945711,17
Single Family Residential,3308 W 112th St,Inglewood,CA,90303,779999,3,2,1121,6022,1946,696,33.9326765,-118.3308144,6
Single Family Residential,139 Spanner St,Monrovia,CA,91016,889000,4,2,1358,6022,1950,655,34.1296513,-118.0024243,13
Multi-Family (2-4 Unit),249 E Glaucus St,Encinitas,CA,92024,2295000,5,4.5,2581,6022,1986,889,33.0689326,-117.3004379,91
Single Family Residential,3344 Pokeroot Ln,San Bernardino,CA,92407,739000,4,3,2467,6023,2017,300,34.1934212,-117.413766,27
Single Family Residential,27865 Quincy St,Castaic,CA,91384,775000,3,2,1227,6023,1986,632,34.4518209,-118.6214307,37
Single Family Residential,19119 Delight St,Canyon Country,CA,91351,759000,4,3.5,1624,6027,1962,467,34.4241735,-118.4701861,114
Single Family Residential,2406 Descanso Way,Torrance,CA,90504,1450000,5,4,2999,6029,1979,483,33.8711714,-118.3202365,2
Single Family Residential,621 Stevens Ave,Barstow,CA,92311,249900,3,2,1144,6029,1957,218,34.8933411,-117.0072397,79
Single Family Residential,411 Lenwood Dr,Costa Mesa,CA,92627,2875000,3,2,1730,6030,1962,1662,33.6284559,-117.9135829,26
Single Family Residential,1544 S Pleasant Ave,Ontario,CA,91761,539900,3,1,968,6030,1952,558,34.0453452,-117.6453655,31
Single Family Residential,1620 S Pleasant Ave,Ontario,CA,91761,654000,4,3,1613,6030,1952,405,34.0441816,-117.645355,53
Single Family Residential,22021 Crestline Rd,Palomar Mountain,CA,92060,286000,2,1,667,6030,1923,429,33.310646,-116.854463,64
Single Family Residential,2718 S Averill Ave,San Pedro,CA,90731,1099000,3,2,1541,6031,1945,713,33.7180987,-118.3082719,6
Single Family Residential,414 Deepmead Ave,La Puente,CA,91744,754990,3,2,1395,6031,1960,541,34.0102966,-117.900115,9
Single Family Residential,6791 Retherford Dr,Huntington Beach,CA,92647,1395000,4,2,1670,6033,1962,835,33.7328648,-118.0101232,5
Single Family Residential,16624 Kelsloan St,Lake Balboa,CA,91406,799999,3,1,1172,6037,1951,683,34.2053441,-118.4955883,42
Single Family Residential,5013 Macafee Rd,Torrance,CA,90505,3195000,5,4.5,2618,6037,2025,1220,33.8154371,-118.3670713,119
Single Family Residential,1138 S Indiana St,Los Angeles,CA,90023,425000,2,1,912,6041,1921,466,34.0197576,-118.1919164,19
Single Family Residential,656 Radstock Ave,La Puente,CA,91744,670000,4,2,1158,6041,1954,579,34.0111778,-117.9307388,46
Single Family Residential,735 E Hanks St,Azusa,CA,91702,800000,5,2,1360,6042,1956,588,34.1256737,-117.894674,4
Single Family Residential,7537 Maie Ave,Los Angeles,CA,90001,599000,2,1,1344,6043,1920,446,33.9714203,-118.2446905,342
Single Family Residential,1638 Vejar St,Pomona,CA,91766,625000,3,1,1134,6044,1947,551,34.0520337,-117.7765738,47
Single Family Residential,1150 E Pine Ave,El Segundo,CA,90245,3200000,4,3,2903,6045,1982,1102,33.921934,-118.4043069,13
Single Family Residential,6552 Aura Ave,Reseda,CA,91335,719900,3,1,1016,6048,1951,709,34.1898631,-118.5543322,4
Single Family Residential,1414 S Douglas St,Santa Ana,CA,92704,799000,3,1.5,1029,6049,1954,776,33.7280752,-117.8936194,5
Single Family Residential,15688 Portenza Dr,Fontana,CA,92336,859000,4,4,3664,6049,2007,234,34.1574618,-117.4625329,53
Single Family Residential,15688 Portenza Dr,Fontana,CA,92336,859000,4,4,3664,6049,2007,234,34.1574618,-117.4625329,53
Single Family Residential,6370 Drexel Ave,Los Angeles,CA,90048,3295000,4,5,2841,6049,1936,1160,34.0686106,-118.3669623,59
Single Family Residential,11301 Inspiration Dr,Desert Hot Springs,CA,92240,386016,3,2,1229,6050,2025,314,33.967287,-116.566237,1
Single Family Residential,9256 Crocus Ave,Fountain Valley,CA,92708,1499000,4,2.5,2268,6050,1973,661,33.7288846,-117.9676036,3
Single Family Residential,29485 Whitewood St,Menifee,CA,92584,650000,3,2,2192,6050,2022,297,33.6935042,-117.1433705,5
Single Family Residential,4576 E Balch Ave,Fresno,CA,93702,69000,2,1,834,6050,1920,83,36.7383714,-119.7465369,6
Single Family Residential,6410 Drexel Ave,Los Angeles,CA,90048,2845000,3,3.5,2103,6050,1930,1353,34.0687307,-118.3679802,26
Single Family Residential,11297 Inspiration Dr,Desert Hot Springs,CA,92240,402958,3,2,1494,6050,2025,270,33.96738434,-116.566246,43
Single Family Residential,6206 Canal Dr,Jurupa Valley,CA,92509,810988,5,3.5,3040,6050,2025,267,34.0102497,-117.4228665,55
Single Family Residential,15448 Six M Ranch Ln,Fontana,CA,92336,958000,4,3.5,3678,6050,2013,260,34.1676683,-117.4675848,68
Single Family Residential,1010 Taos Dr,Barstow,CA,92311,270000,3,1,950,6050,1959,284,34.9001659,-117.0131418,143
Single Family Residential,501 W Sherwood Blvd,Big Bear City,CA,92314,349000,3,2,1144,6050,1969,305,34.259984,-116.8532277,153
Single Family Residential,3434 Lakota Ln,Jurupa Valley,CA,92509,769990,4,3,2661,6050,2025,289,34.0091893,-117.4218569,207
Single Family Residential,2270 W 231st St,Torrance,CA,90501,1499000,3,2,1745,6051,1953,859,33.8154203,-118.3223674,6
Single Family Residential,2 Dos Rios,Irvine,CA,92602,2985000,4,3,3318,6051,2002,900,33.722697,-117.7734735,79
Single Family Residential,2405 Tustin Ave,Costa Mesa,CA,92627,2799000,5,4.5,3296,6052,1964,849,33.6507156,-117.8925338,31
Single Family Residential,33 Alhambra Ave,Ventura,CA,93004,1150000,4,3,1885,6054,1994,610,34.2828524,-119.1881712,19
Single Family Residential,477 Pyramid Dr,Crestline,CA,92325,275000,1,1.5,640,6054,1928,430,34.2445966,-117.25652,124
Single Family Residential,8748 Sylmar Ave,Panorama City,CA,91402,749000,4,1.5,1363,6055,1949,550,34.229135,-118.4449795,63
Single Family Residential,6212 Sequanota Dr,Jurupa Valley,CA,92509,771867,4,3,2661,6055,2025,290,34.0089583,-117.422585,95
Single Family Residential,4402 Lexington Ave,Bakersfield,CA,93306,250000,3,1,1127,6055,1954,222,35.3708047,-118.9361074,221
Single Family Residential,11046 Howard St,Whittier,CA,90606,739000,2,1,1031,6057,1941,717,33.9896593,-118.0599637,2
Single Family Residential,2830 May Ave,Redondo Beach,CA,90278,1850000,3,2,1899,6057,1943,974,33.8823959,-118.3688623,5
Multi-Family (2-4 Unit),5155 W 104th St,Inglewood,CA,90304,719500,3,2,1458,6059,1951,493,33.9419632,-118.369696,16
Multi-Family (2-4 Unit),937 W 52nd St,Los Angeles,CA,90037,650000,6,4,2687,6063,1895,242,33.9954578,-118.2906026,33
